Info 0    [16:22:20.887] Starting TS Server
Info 1    [16:22:20.887] Version: 4.6.3
Info 2    [16:22:20.887] Arguments: /usr/bin/node /usr/lib/node_modules/typescript/lib/tsserver.js --logFile /home/seweryn/dev/projects/blog/.log/tsserver.log --logVerbosity info --cancellationPipeName /tmp/34161ffe87bfca4e831af438f61d5767/tscancellation*
Info 3    [16:22:20.887] Platform: linux NodeVersion: 17 CaseSensitive: true
Info 4    [16:22:20.887] ServerMode: undefined syntaxOnly: false hasUnknownServerMode: undefined
Info 5    [16:22:20.903] Format host information updated
Info 6    [16:22:20.905] Search path: /home/seweryn/dev/projects/blog/scripts
Info 7    [16:22:20.906] For info: /home/seweryn/dev/projects/blog/scripts/mobile-navigation.js :: No config files found.
Info 8    [16:22:20.910] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 9    [16:22:21.916] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 1 structureChanged: true structureIsReused:: Not Elapsed: 1005.1715129995719ms
Info 10   [16:22:21.916] Project '/dev/null/inferredProject1*' (Inferred)
Info 11   [16:22:21.916] 	Files (19)

Info 12   [16:22:21.916] -----------------------------------------------
Info 13   [16:22:27.180] Starting updateGraphWorker: Project: /dev/null/inferredProject1*
Info 14   [16:22:27.189] Finishing updateGraphWorker: Project: /dev/null/inferredProject1* Version: 2 structureChanged: false structureIsReused:: Completely Elapsed: 8.276763000059873ms
Info 15   [16:22:27.189] Different program with same set of files
Info 16   [16:22:27.191] getCompletionData: Get current token: 0.028000000398606062
Info 17   [16:22:27.191] getCompletionData: Is inside comment: 0.10651999991387129
Info 18   [16:22:27.191] getCompletionData: Get previous token: 0.07810000004246831
Info 19   [16:22:27.192] getCompletionsAtPosition: isCompletionListBlocker: 0.29287200001999736
Info 20   [16:22:27.197] getExportInfoMap: cache miss or empty; calculating new results
Info 21   [16:22:27.197] getExportInfoMap: done in 0.6969240000471473 ms
Info 22   [16:22:27.198] collectAutoImports: resolved 0 module specifiers, plus 0 ambient and 0 from cache
Info 23   [16:22:27.198] collectAutoImports: response is complete
Info 24   [16:22:27.198] collectAutoImports: 0.17089099995791912
Info 25   [16:22:27.198] getCompletionData: Semantic work: 6.077193000353873
Info 26   [16:22:27.220] getCompletionsAtPosition: getCompletionEntriesFromSymbols: 21.538134000264108
